Date,Open,High,Low,Close,Adj Close,Volume
2023-11-02,5.860000,5.960000,5.810000,5.910000,5.910000,6029000
2023-11-03,5.960000,6.050000,5.710000,5.780000,5.780000,7876400
2023-11-06,5.800000,5.800000,5.510000,5.520000,5.520000,6250000
2023-11-07,5.540000,5.740000,5.440000,5.660000,5.660000,8701700
2023-11-08,5.650000,5.690000,5.350000,5.510000,5.510000,6550400
2023-11-09,5.540000,5.750000,5.500000,5.560000,5.560000,5384500
2023-11-10,5.630000,5.710000,5.420000,5.640000,5.640000,4097900
2023-11-13,5.640000,6.030000,5.590000,5.970000,5.970000,8783100
2023-11-14,6.030000,6.100000,5.920000,6.070000,6.070000,9113600
2023-11-15,6.100000,6.130000,5.860000,5.910000,5.910000,5878400
2023-11-16,5.910000,6.170000,5.890000,6.160000,6.160000,8458200
2023-11-17,6.200000,6.430000,6.200000,6.360000,6.360000,8847900
2023-11-20,6.420000,6.480000,6.310000,6.440000,6.440000,6392000
2023-11-21,6.460000,6.540000,6.260000,6.390000,6.390000,5543500
2023-11-22,6.370000,6.390000,6.180000,6.360000,6.360000,5796400
2023-11-24,6.330000,6.540000,6.330000,6.440000,6.440000,2927200
2023-11-27,6.360000,6.530000,6.310000,6.400000,6.400000,4028100
2023-11-28,6.390000,6.430000,6.260000,6.290000,6.290000,3291700
2023-11-29,6.320000,6.340000,6.140000,6.170000,6.170000,4798200
2023-11-30,6.180000,6.540000,6.130000,6.520000,6.520000,10056900
2023-12-01,6.550000,6.650000,6.470000,6.540000,6.540000,9023100
2023-12-04,6.700000,6.770000,6.520000,6.750000,6.750000,9413400
2023-12-05,6.710000,6.790000,6.640000,6.650000,6.650000,5429600
2023-12-06,6.680000,6.800000,6.450000,6.500000,6.500000,6736500
2023-12-07,6.510000,6.650000,6.410000,6.590000,6.590000,4324700
2023-12-08,6.620000,6.800000,6.600000,6.740000,6.740000,5111100
2023-12-11,6.790000,6.800000,6.550000,6.780000,6.780000,8288900
2023-12-12,6.800000,6.860000,6.600000,6.810000,6.810000,7241600
2023-12-13,6.820000,6.850000,5.830000,6.340000,6.340000,24795100
2023-12-14,6.450000,6.750000,5.990000,6.730000,6.730000,13534400
2023-12-15,6.750000,6.750000,6.340000,6.340000,6.340000,14899300
2023-12-18,6.400000,6.730000,6.390000,6.460000,6.460000,7742600
2023-12-19,6.460000,6.480000,6.070000,6.210000,6.210000,11623800
2023-12-20,6.170000,6.480000,6.160000,6.320000,6.320000,9688200
2023-12-21,6.290000,6.600000,6.240000,6.590000,6.590000,6824300
2023-12-22,6.600000,6.840000,6.550000,6.620000,6.620000,9119600
2023-12-26,6.580000,6.760000,6.540000,6.740000,6.740000,3288100
2023-12-27,6.830000,6.840000,6.620000,6.640000,6.640000,3456000
2023-12-28,6.610000,6.610000,6.370000,6.440000,6.440000,6358600
2023-12-29,6.460000,6.540000,6.370000,6.400000,6.400000,6786500
2024-01-02,6.410000,6.500000,6.290000,6.440000,6.440000,5651200
2024-01-03,6.340000,6.470000,6.170000,6.330000,6.330000,5567700
2024-01-04,6.380000,6.550000,6.370000,6.450000,6.450000,4258400
2024-01-05,6.470000,6.580000,6.350000,6.410000,6.410000,5028600
2024-01-08,6.380000,6.450000,6.280000,6.450000,6.450000,3500600
2024-01-09,6.360000,6.870000,6.310000,6.760000,6.760000,8357600
2024-01-10,6.900000,7.080000,6.790000,6.860000,6.860000,8202000
2024-01-11,6.850000,6.930000,6.620000,6.930000,6.930000,5944600
2024-01-12,7.200000,7.830000,7.150000,7.770000,7.770000,29227100
2024-01-16,8.010000,8.290000,7.950000,8.000000,8.000000,24829000
2024-01-17,7.980000,8.070000,7.660000,8.000000,8.000000,10492500
2024-01-18,8.120000,8.170000,7.810000,7.920000,7.920000,7054000
2024-01-19,7.970000,8.000000,7.530000,7.740000,7.740000,8157600
2024-01-22,7.720000,7.830000,7.560000,7.630000,7.630000,5282200
2024-01-23,7.550000,7.980000,7.420000,7.920000,7.920000,7886400
2024-01-24,8.000000,8.090000,7.720000,7.740000,7.740000,5625600
2024-01-25,7.820000,7.880000,7.260000,7.400000,7.400000,10214700
2024-01-26,7.390000,7.470000,7.220000,7.430000,7.430000,7926500
2024-01-29,7.400000,7.430000,7.120000,7.430000,7.430000,7925700
2024-01-30,7.380000,7.630000,7.310000,7.620000,7.620000,6258200
2024-01-31,7.620000,7.840000,7.360000,7.640000,7.640000,17125000
2024-02-01,7.900000,8.340000,7.860000,8.200000,8.200000,15881700
2024-02-02,8.120000,8.200000,8.010000,8.140000,8.140000,6897400
2024-02-05,8.120000,8.120000,7.810000,7.980000,7.980000,7161300
2024-02-06,7.980000,8.000000,7.700000,7.700000,7.700000,5656300
