Date,Open,High,Low,Close,Adj Close,Volume
2024-01-11,213.119995,215.539993,212.490005,215.279999,213.919144,108500
2024-01-12,216.369995,218.949997,215.800003,218.770004,217.387100,112200
2024-01-16,217.410004,219.240005,217.380005,218.699997,217.317535,137200
2024-01-17,218.429993,221.639999,218.429993,221.539993,220.139572,108400
2024-01-18,221.580002,223.479996,220.210007,223.080002,221.669846,106300
2024-01-19,224.440002,226.589996,223.529999,226.580002,225.147720,98600
2024-01-22,227.850006,230.320007,227.570007,229.210007,227.761108,125300
2024-01-23,228.580002,229.070007,226.619995,226.869995,225.435867,92300
2024-01-24,228.199997,229.179993,226.110001,226.149994,224.720428,75400
2024-01-25,226.960007,227.589996,225.389999,225.660004,224.233536,93800
2024-01-26,226.110001,226.470001,225.259995,226.039993,224.611130,81200
2024-01-29,224.800003,229.130005,224.350006,228.990005,227.542480,108400
2024-01-30,228.990005,233.630005,228.990005,233.330002,231.855042,131000
2024-01-31,233.979996,236.710007,233.490005,234.160004,232.679794,223500
2024-02-01,232.910004,232.910004,224.570007,229.479996,228.029388,140200
2024-02-02,230.000000,234.720001,230.000000,234.009995,232.530731,76500
2024-02-05,232.559998,234.740005,231.250000,233.339996,231.864975,82400
2024-02-06,232.679993,234.240005,230.470001,230.919998,229.460281,138600
2024-02-07,231.160004,233.800003,231.160004,232.990005,231.517212,127900
2024-02-08,232.990005,236.160004,232.330002,235.929993,234.438599,90600
2024-02-09,237.149994,242.529999,236.179993,242.460007,240.927338,137900
2024-02-12,236.800003,241.820007,236.460007,238.600006,237.091736,202600
2024-02-13,237.070007,239.259995,233.160004,235.210007,233.723175,175100
2024-02-14,232.449997,242.429993,226.839996,239.619995,238.105286,198400
2024-02-15,241.089996,247.259995,240.149994,244.889999,243.341980,152800
2024-02-16,244.990005,248.039993,243.919998,246.470001,244.911987,127400
2024-02-20,243.940002,246.559998,243.940002,246.039993,245.230927,137600
2024-02-21,245.800003,247.050003,244.639999,246.899994,246.088104,139300
2024-02-22,247.880005,252.889999,247.880005,252.320007,251.490295,150100
2024-02-23,253.880005,254.410004,249.610001,249.929993,249.108139,130100
2024-02-26,249.699997,250.960007,246.949997,247.190002,246.377167,104500
2024-02-27,246.759995,247.529999,243.960007,244.580002,243.775742,126700
2024-02-28,243.919998,247.089996,243.919998,245.369995,244.563141,106900
2024-02-29,246.139999,246.610001,243.600006,245.259995,244.453506,153800
2024-03-01,244.729996,248.940002,244.600006,248.729996,247.912094,118000
2024-03-04,248.399994,252.289993,248.270004,249.289993,248.470245,125600
2024-03-05,248.889999,251.720001,248.070007,248.330002,247.513412,127700
2024-03-06,248.720001,252.970001,247.110001,251.740005,250.912201,79900
2024-03-07,252.000000,252.850006,248.389999,248.479996,247.662918,95800
2024-03-08,248.979996,251.679993,246.929993,247.039993,246.227646,91300
2024-03-11,245.869995,247.389999,244.539993,246.270004,245.460190,109100
2024-03-12,245.229996,247.740005,244.279999,246.649994,245.838928,80400
2024-03-13,247.270004,250.350006,247.270004,248.669998,247.852295,83900
2024-03-14,248.289993,248.789993,243.649994,245.520004,244.712646,135600
2024-03-15,243.410004,247.940002,243.410004,246.880005,246.068176,305400
2024-03-18,247.820007,248.639999,246.029999,246.160004,245.350555,82600
2024-03-19,246.160004,250.309998,246.160004,250.300003,249.476929,108900
2024-03-20,249.229996,252.179993,248.539993,251.830002,251.001907,109200
2024-03-21,252.199997,252.300003,249.949997,251.110001,250.284271,101900
2024-03-22,252.089996,252.089996,248.089996,248.809998,247.991821,113000
2024-03-25,249.690002,251.649994,248.570007,250.070007,249.247696,85400
2024-03-26,249.729996,254.630005,249.729996,252.449997,251.619858,83800
2024-03-27,253.410004,256.559998,253.250000,256.179993,255.337585,98600
2024-03-28,255.940002,256.299988,252.910004,252.960007,252.128189,146100
2024-04-01,252.440002,254.130005,251.610001,252.000000,251.171341,111300
2024-04-02,249.660004,251.309998,247.899994,248.580002,247.762589,83900
